date,away,away_score,home_score,home
2017/3/31,LG,2,1,넥센
2017/3/31,KIA,7,2,삼성
2017/3/31,롯데,5,6,NC
2017/3/31,kt,3,2,SK
2017/3/31,한화,0,3,두산
2017/4/1,LG,8,3,넥센
2017/4/1,KIA,9,7,삼성
2017/4/1,한화,6,5,두산
2017/4/1,롯데,3,0,NC
2017/4/1,kt,2,0,SK
2017/4/2,LG,9,2,넥센
2017/4/2,KIA,3,16,삼성
2017/4/2,롯데,12,4,NC
2017/4/2,kt,8,1,SK
2017/4/2,한화,4,5,두산
2017/4/4,NC,0,6,한화
2017/4/4,넥센,2,5,롯데
2017/4/4,삼성,0,11,LG
2017/4/4,SK,1,6,KIA
2017/4/4,두산,2,0,kt
2017/4/6,NC,5,2,한화
2017/4/6,넥센,3,12,롯데
2017/4/6,삼성,0,4,LG
2017/4/6,SK,4,6,KIA
2017/4/6,두산,1,5,kt
2017/4/7,LG,6,4,롯데
2017/4/7,NC,5,3,SK
2017/4/7,넥센,7,3,두산
2017/4/7,한화,2,4,KIA
2017/4/7,삼성,2,3,kt
2017/4/8,LG,6,8,롯데
2017/4/8,NC,2,9,SK
2017/4/8,넥센,13,10,두산
2017/4/8,한화,4,3,KIA
2017/4/8,삼성,0,1,kt
2017/4/9,LG,1,7,롯데
2017/4/9,NC,5,8,SK
2017/4/9,넥센,13,2,두산
2017/4/9,한화,2,3,KIA
2017/4/9,삼성,0,3,kt
2017/4/11,kt,2,12,넥센
2017/4/11,한화,11,8,삼성
2017/4/11,LG,3,4,NC
2017/4/11,롯데,6,4,SK
2017/4/11,KIA,4,16,두산
2017/4/12,kt,3,5,넥센
2017/4/12,한화,5,3,삼성
2017/4/12,LG,0,5,NC
2017/4/12,롯데,1,2,SK
2017/4/12,KIA,8,4,두산
2017/4/13,kt,7,6,넥센
2017/4/13,한화,1,5,삼성
2017/4/13,LG,1,3,NC
2017/4/13,롯데,10,11,SK
2017/4/13,KIA,4,3,두산
2017/4/14,SK,6,2,한화
2017/4/14,두산,10,6,NC
2017/4/14,삼성,6,9,롯데
2017/4/14,kt,2,5,LG
2017/4/14,넥센,2,3,KIA
2017/4/15,SK,12,4,한화
2017/4/15,두산,11,2,NC
2017/4/15,삼성,4,6,롯데
2017/4/15,kt,1,0,LG
2017/4/15,넥센,2,5,KIA
2017/4/16,SK,10,1,한화
2017/4/16,두산,0,4,NC
2017/4/16,삼성,3,0,롯데
2017/4/16,kt,5,12,LG
2017/4/16,넥센,6,7,KIA
2017/4/18,LG,2,3,한화
2017/4/18,NC,8,3,롯데
2017/4/18,넥센,4,7,SK
2017/4/18,삼성,3,3,두산
2017/4/18,KIA,5,0,kt
2017/4/19,LG,0,3,한화
2017/4/19,NC,8,2,롯데
2017/4/19,넥센,3,5,SK
2017/4/19,삼성,1,2,두산
2017/4/19,KIA,1,3,kt
2017/4/20,LG,4,3,한화
2017/4/20,NC,5,4,롯데
2017/4/20,넥센,5,3,SK
2017/4/20,삼성,2,4,두산
2017/4/20,KIA,9,2,kt
2017/4/21,롯데,1,4,넥센
2017/4/21,NC,4,4,삼성
2017/4/21,두산,4,9,SK
2017/4/21,KIA,2,6,LG
2017/4/21,한화,7,2,kt
2017/4/22,롯데,3,2,넥센
2017/4/22,NC,14,6,삼성
2017/4/22,두산,4,8,SK
2017/4/22,KIA,5,4,LG
2017/4/22,한화,9,11,kt
2017/4/23,롯데,5,6,넥센
2017/4/23,NC,6,3,삼성
2017/4/23,두산,8,4,SK
2017/4/23,KIA,1,7,LG
2017/4/23,한화,14,1,kt
2017/4/25,두산,9,13,넥센
2017/4/25,kt,1,2,NC
2017/4/25,한화,2,4,롯데
2017/4/25,SK,8,3,LG
2017/4/25,삼성,3,11,KIA
2017/4/26,두산,4,3,넥센
2017/4/26,kt,4,11,NC
2017/4/26,한화,2,8,롯데
2017/4/26,SK,0,9,LG
2017/4/26,삼성,0,7,KIA
2017/4/27,두산,3,7,넥센
2017/4/27,kt,0,3,NC
2017/4/27,한화,6,1,롯데
2017/4/27,SK,2,4,LG
2017/4/27,삼성,9,16,KIA
2017/4/28,넥센,13,2,한화
2017/4/28,SK,7,5,삼성
2017/4/28,롯데,0,2,두산
2017/4/28,NC,3,9,KIA
2017/4/28,LG,2,1,kt
2017/4/29,넥센,7,3,한화
2017/4/29,SK,5,12,삼성
2017/4/29,롯데,3,5,두산
2017/4/29,NC,8,6,KIA
2017/4/29,LG,0,6,kt
2017/4/30,넥센,5,4,한화
2017/4/30,SK,13,2,삼성
2017/4/30,롯데,6,0,두산
2017/4/30,NC,12,1,KIA
2017/4/30,LG,7,5,kt
2017/5/2,KIA,9,3,넥센
2017/5/2,두산,5,6,삼성
2017/5/2,한화,6,5,SK
2017/5/2,NC,2,1,LG
2017/5/2,롯데,9,0,kt
2017/5/3,KIA,2,1,넥센
2017/5/3,두산,10,4,삼성
2017/5/3,한화,9,8,SK
2017/5/3,NC,0,13,LG
2017/5/3,롯데,2,8,kt
2017/5/4,KIA,1,9,넥센
2017/5/4,두산,17,2,삼성
2017/5/4,한화,2,6,SK
2017/5/4,NC,3,4,LG
2017/5/4,롯데,3,2,kt
2017/5/5,SK,3,5,넥센
2017/5/5,kt,1,13,한화
2017/5/5,삼성,2,7,NC
2017/5/5,KIA,5,3,롯데
2017/5/5,LG,3,1,두산
2017/5/6,SK,13,5,넥센
2017/5/6,kt,3,5,한화
2017/5/6,삼성,12,1,NC
2017/5/6,KIA,3,0,롯데
2017/5/6,LG,7,5,두산
2017/5/7,SK,6,6,넥센
2017/5/7,kt,10,0,한화
2017/5/7,삼성,3,13,NC
2017/5/7,KIA,5,3,롯데
2017/5/7,LG,10,4,두산
2017/5/9,kt,4,9,KIA
2017/5/10,롯데,8,1,한화
2017/5/10,LG,6,1,삼성
2017/5/10,넥센,0,3,NC
2017/5/10,SK,0,6,두산
2017/5/10,kt,3,0,KIA
2017/5/11,롯데,1,2,한화
2017/5/11,LG,8,5,삼성
2017/5/11,넥센,2,1,NC
2017/5/11,SK,0,7,두산
2017/5/11,kt,4,2,KIA
2017/5/12,넥센,1,4,삼성
2017/5/12,KIA,2,8,SK
2017/5/12,한화,5,3,LG
2017/5/12,NC,8,5,kt
2017/5/13,넥센,5,4,삼성
2017/5/13,두산,9,4,롯데
2017/5/13,KIA,5,3,SK
2017/5/13,한화,10,0,LG
2017/5/13,NC,2,5,kt
2017/5/14,넥센,5,4,삼성
2017/5/14,두산,15,1,롯데
2017/5/14,KIA,3,4,SK
2017/5/14,한화,1,4,LG
2017/5/14,NC,5,10,kt
2017/5/16,한화,1,2,넥센
2017/5/16,kt,0,6,롯데
2017/5/16,삼성,8,2,SK
2017/5/16,NC,2,1,두산
2017/5/16,LG,2,3,KIA
2017/5/17,한화,8,4,넥센
2017/5/17,kt,4,9,롯데
2017/5/17,삼성,5,2,SK
2017/5/17,NC,2,1,두산
2017/5/17,LG,3,8,KIA
2017/5/18,한화,6,8,넥센
2017/5/18,kt,4,11,롯데
2017/5/18,삼성,1,4,SK
2017/5/18,NC,4,7,두산
2017/5/18,LG,4,9,KIA
2017/5/19,삼성,6,2,한화
2017/5/19,SK,11,1,NC
2017/5/19,롯데,9,4,LG
2017/5/19,두산,7,6,KIA
2017/5/19,넥센,4,3,kt
2017/5/20,삼성,9,8,한화
2017/5/20,SK,0,1,NC
2017/5/20,롯데,2,3,LG
2017/5/20,두산,6,0,KIA
2017/5/20,넥센,11,3,kt
2017/5/21,삼성,8,7,한화
2017/5/21,SK,9,4,NC
2017/5/21,롯데,3,4,LG
2017/5/21,두산,7,3,KIA
2017/5/21,넥센,4,13,kt
2017/5/23,NC,15,4,넥센
2017/5/23,KIA,13,8,한화
2017/5/23,kt,12,3,삼성
2017/5/23,SK,6,7,롯데
2017/5/24,NC,5,4,넥센
2017/5/24,KIA,9,3,한화
2017/5/24,kt,9,8,삼성
2017/5/24,SK,5,7,롯데
2017/5/24,두산,2,1,LG
2017/5/25,NC,13,3,넥센
2017/5/25,KIA,6,4,한화
2017/5/25,kt,4,6,삼성
2017/5/25,SK,6,17,롯데
2017/5/25,두산,9,7,LG
2017/5/26,삼성,3,18,넥센
2017/5/26,한화,3,5,NC
2017/5/26,LG,1,6,SK
2017/5/26,kt,5,3,두산
2017/5/26,롯데,8,2,KIA
2017/5/27,삼성,4,7,넥센
2017/5/27,한화,6,1,NC
2017/5/27,LG,3,4,SK
2017/5/27,kt,4,10,두산
2017/5/27,롯데,7,15,KIA
2017/5/28,삼성,3,2,넥센
2017/5/28,한화,8,1,NC
2017/5/28,LG,2,5,SK
2017/5/28,kt,5,9,두산
2017/5/28,롯데,4,8,KIA
2017/5/30,두산,2,5,한화
2017/5/30,롯데,1,0,삼성
2017/5/30,KIA,9,7,NC
2017/5/30,넥센,3,1,LG
2017/5/30,SK,8,3,kt
2017/5/31,두산,1,3,한화
2017/5/31,롯데,4,11,삼성
2017/5/31,KIA,10,2,NC
2017/5/31,넥센,2,5,LG
2017/5/31,SK,8,2,kt
2017/6/1,두산,8,6,한화
2017/6/1,롯데,2,13,삼성
2017/6/1,KIA,7,8,NC
2017/6/1,넥센,1,6,LG
2017/6/1,SK,10,4,kt
2017/6/2,두산,15,4,넥센
2017/6/2,SK,4,5,한화
2017/6/2,KIA,1,5,삼성
2017/6/2,kt,11,8,롯데
2017/6/2,NC,4,1,LG
2017/6/3,두산,5,8,넥센
2017/6/3,SK,5,2,한화
2017/6/3,KIA,5,6,삼성
2017/6/3,kt,10,1,롯데
2017/6/3,NC,4,3,LG
2017/6/4,두산,6,1,넥센
2017/6/4,SK,7,4,한화
2017/6/4,KIA,13,3,삼성
2017/6/4,kt,8,14,롯데
2017/6/4,NC,6,5,LG
2017/6/6,넥센,5,6,SK
2017/6/6,삼성,12,10,두산
2017/6/6,롯데,5,4,NC
2017/6/7,롯데,4,12,NC
2017/6/7,넥센,6,2,SK
2017/6/7,삼성,7,9,두산
2017/6/7,한화,0,7,KIA
2017/6/7,LG,11,7,kt
2017/6/8,롯데,0,16,NC
2017/6/8,넥센,6,2,SK
2017/6/8,삼성,3,4,두산
2017/6/8,한화,4,8,KIA
2017/6/8,LG,5,4,kt
2017/6/9,삼성,8,5,한화
2017/6/9,kt,5,6,NC
2017/6/9,두산,4,0,롯데
2017/6/9,SK,1,3,LG
2017/6/9,넥센,7,5,KIA
2017/6/10,삼성,2,10,한화
2017/6/10,kt,1,4,NC
2017/6/10,두산,6,7,롯데
2017/6/10,SK,4,3,LG
2017/6/10,넥센,8,4,KIA
2017/6/11,삼성,7,4,한화
2017/6/11,kt,0,5,NC
2017/6/11,두산,4,7,롯데
2017/6/11,SK,1,19,LG
2017/6/11,넥센,2,6,KIA
2017/6/13,NC,14,5,넥센
2017/6/13,KIA,10,7,롯데
2017/6/13,한화,11,8,SK
2017/6/13,LG,4,7,두산
2017/6/13,kt,0,4,삼성
2017/6/14,NC,4,8,넥센
2017/6/14,KIA,6,3,롯데
2017/6/14,한화,3,6,SK
2017/6/14,LG,5,1,두산
2017/6/14,kt,7,5,삼성
2017/6/15,NC,9,8,넥센
2017/6/15,KIA,7,5,롯데
2017/6/15,한화,3,4,SK
2017/6/15,LG,12,6,두산
2017/6/15,kt,2,6,삼성
2017/6/16,롯데,1,2,넥센
2017/6/16,SK,2,1,삼성
2017/6/16,NC,11,5,두산
2017/6/16,LG,9,8,KIA
2017/6/16,한화,15,14,kt
2017/6/17,롯데,2,8,넥센
2017/6/17,SK,14,10,삼성
2017/6/17,NC,4,14,두산
2017/6/17,LG,3,4,KIA
2017/6/17,한화,9,1,kt
2017/6/18,롯데,3,14,넥센
2017/6/18,SK,5,7,삼성
2017/6/18,NC,11,13,두산
2017/6/18,LG,16,8,KIA
2017/6/18,한화,13,5,kt
2017/6/20,넥센,5,6,한화
2017/6/20,NC,1,7,SK
2017/6/20,삼성,3,5,LG
2017/6/20,롯데,10,2,kt
2017/6/21,넥센,6,5,한화
2017/6/21,NC,2,1,SK
2017/6/21,삼성,10,3,LG
2017/6/21,두산,8,20,KIA
2017/6/21,롯데,10,4,kt
2017/6/22,넥센,12,13,한화
2017/6/22,NC,6,13,SK
2017/6/22,삼성,5,1,LG
2017/6/22,두산,5,11,KIA
2017/6/22,롯데,3,10,kt
2017/6/23,LG,3,8,넥센
2017/6/23,한화,3,5,삼성
2017/6/23,KIA,1,4,NC
2017/6/23,kt,2,4,SK
2017/6/23,롯데,1,9,두산
2017/6/24,LG,8,2,넥센
2017/6/24,한화,2,8,삼성
2017/6/24,KIA,1,6,NC
2017/6/24,kt,1,2,SK
2017/6/24,롯데,8,4,두산
2017/6/25,LG,2,4,넥센
2017/6/25,한화,7,7,삼성
2017/6/25,KIA,6,9,NC
2017/6/25,kt,6,7,SK
2017/6/25,롯데,4,2,두산
2017/6/27,넥센,2,7,NC
2017/6/27,LG,10,11,롯데
2017/6/27,SK,5,1,두산
2017/6/27,삼성,4,11,KIA
2017/6/27,kt,1,4,한화
2017/6/28,넥센,3,9,NC
2017/6/28,LG,9,9,롯데
2017/6/28,SK,3,0,두산
2017/6/28,삼성,4,13,KIA
2017/6/28,kt,5,4,한화
2017/6/29,SK,3,6,두산
2017/6/29,삼성,1,22,KIA
2017/6/29,kt,5,8,한화
2017/6/30,두산,8,13,한화
2017/6/30,NC,0,9,롯데
2017/6/30,삼성,5,7,SK
2017/6/30,KIA,10,6,LG
2017/6/30,넥센,9,5,kt
2017/7/1,두산,3,9,한화
2017/7/1,NC,5,9,롯데
2017/7/1,삼성,7,4,SK
2017/7/1,KIA,10,4,LG
2017/7/2,NC,1,2,롯데
2017/7/2,삼성,5,6,SK
2017/7/2,KIA,13,4,LG
2017/7/2,넥센,5,1,kt
2017/7/4,한화,5,7,넥센
2017/7/4,KIA,15,6,SK
2017/7/4,kt,1,8,두산
2017/7/4,롯데,2,4,삼성
2017/7/5,한화,7,12,넥센
2017/7/5,LG,12,5,NC
2017/7/5,KIA,17,18,SK
2017/7/5,kt,1,3,두산
2017/7/5,롯데,5,6,삼성
2017/7/6,한화,6,13,넥센
2017/7/6,KIA,5,3,SK
2017/7/6,롯데,4,2,삼성
2017/7/7,넥센,9,2,삼성
2017/7/7,두산,6,1,NC
2017/7/7,SK,6,5,롯데
2017/7/8,넥센,10,8,삼성
2017/7/8,SK,4,6,롯데
2017/7/8,한화,6,3,LG
2017/7/8,KIA,20,8,kt
2017/7/9,넥센,2,7,삼성
2017/7/9,두산,4,9,NC
2017/7/9,SK,6,0,롯데
2017/7/9,한화,2,3,LG
2017/7/11,롯데,5,4,한화
2017/7/11,LG,1,6,SK
2017/7/11,넥센,5,1,두산
2017/7/11,NC,4,7,KIA
2017/7/11,삼성,4,2,kt
2017/7/12,롯데,8,4,한화
2017/7/12,LG,12,6,SK
2017/7/12,넥센,3,4,두산
2017/7/12,NC,6,7,KIA
2017/7/12,삼성,11,3,kt
2017/7/13,롯데,4,6,한화
2017/7/13,LG,9,1,SK
2017/7/13,넥센,4,8,두산
2017/7/13,NC,1,7,KIA
2017/7/13,삼성,8,9,kt
2017/7/18,KIA,4,3,넥센
2017/7/18,삼성,2,5,롯데
2017/7/18,두산,6,4,SK
2017/7/18,kt,2,3,LG
2017/7/18,NC,7,4,한화
2017/7/19,KIA,2,4,넥센
2017/7/19,삼성,3,0,롯데
2017/7/19,두산,8,12,SK
2017/7/19,kt,2,4,LG
2017/7/19,NC,13,9,한화
2017/7/20,KIA,8,7,넥센
2017/7/20,삼성,4,4,롯데
2017/7/20,두산,14,2,SK
2017/7/20,kt,9,10,LG
2017/7/20,NC,7,4,한화
2017/7/21,kt,0,2,넥센
2017/7/21,LG,10,4,삼성
2017/7/21,SK,6,10,NC
2017/7/21,한화,6,9,두산
2017/7/21,롯데,4,3,KIA
2017/7/22,kt,8,3,넥센
2017/7/22,SK,2,8,NC
2017/7/22,한화,1,17,두산
2017/7/22,롯데,1,0,KIA
2017/7/23,kt,4,7,넥센
2017/7/23,LG,6,10,삼성
2017/7/23,SK,1,8,NC
2017/7/23,한화,7,8,두산
2017/7/23,롯데,3,1,KIA
2017/7/25,NC,1,3,삼성
2017/7/25,넥센,6,0,LG
2017/7/25,SK,10,11,KIA
2017/7/25,두산,6,5,kt
2017/7/26,NC,1,5,삼성
2017/7/26,한화,8,9,롯데
2017/7/26,넥센,3,4,LG
2017/7/26,SK,7,8,KIA
2017/7/26,두산,7,3,kt
2017/7/27,NC,7,0,삼성
2017/7/27,한화,6,3,롯데
2017/7/27,넥센,3,4,LG
2017/7/27,SK,1,9,KIA
2017/7/27,두산,5,3,kt
2017/7/28,삼성,9,2,넥센
2017/7/28,LG,3,4,한화
2017/7/28,롯데,7,8,SK
2017/7/28,KIA,3,3,두산
2017/7/28,NC,5,4,kt
2017/7/29,삼성,1,14,넥센
2017/7/29,LG,12,2,한화
2017/7/29,롯데,1,4,SK
2017/7/29,KIA,2,1,두산
2017/7/29,NC,3,4,kt
2017/7/30,삼성,4,9,넥센
2017/7/30,LG,9,3,한화
2017/7/30,롯데,3,2,SK
2017/7/30,KIA,4,6,두산
2017/7/30,NC,8,3,kt
2017/8/1,SK,0,3,넥센
2017/8/1,두산,12,5,삼성
2017/8/1,한화,6,7,NC
2017/8/1,롯데,0,2,LG
2017/8/1,kt,15,7,KIA
2017/8/2,SK,4,5,넥센
2017/8/2,두산,5,2,삼성
2017/8/2,한화,6,2,NC
2017/8/2,롯데,4,5,LG
2017/8/3,SK,3,11,넥센
2017/8/3,두산,14,4,삼성
2017/8/3,한화,2,10,NC
2017/8/3,롯데,6,9,LG
2017/8/3,kt,3,9,KIA
2017/8/4,KIA,3,7,한화
2017/8/4,삼성,4,3,NC
2017/8/4,넥센,8,10,롯데
2017/8/4,두산,11,4,LG
2017/8/4,SK,6,5,kt
2017/8/5,KIA,7,1,한화
2017/8/5,삼성,9,3,NC
2017/8/5,넥센,4,5,롯데
2017/8/5,두산,2,1,LG
2017/8/5,SK,3,4,kt
2017/8/6,삼성,1,4,NC
2017/8/6,넥센,4,6,롯데
2017/8/6,두산,10,3,LG
2017/8/6,SK,3,6,kt
2017/8/8,LG,10,8,삼성
2017/8/8,kt,4,5,롯데
2017/8/8,NC,0,4,SK
2017/8/8,한화,1,8,두산
2017/8/8,넥센,5,3,KIA
2017/8/9,LG,4,7,삼성
2017/8/9,kt,6,7,롯데
2017/8/9,NC,10,5,SK
2017/8/9,한화,12,6,두산
2017/8/9,넥센,1,10,KIA
2017/8/10,두산,7,4,넥센
2017/8/10,롯데,2,3,NC
2017/8/10,SK,2,1,LG
2017/8/11,두산,3,6,넥센
2017/8/11,삼성,3,8,한화
2017/8/11,롯데,5,3,NC
2017/8/11,SK,2,6,LG
2017/8/11,KIA,8,9,kt
2017/8/12,한화,6,1,넥센
2017/8/12,롯데,7,13,삼성
2017/8/12,kt,3,8,SK
2017/8/12,NC,0,3,두산
2017/8/12,LG,10,11,KIA
2017/8/13,한화,1,9,넥센
2017/8/13,롯데,9,7,삼성
2017/8/13,kt,11,3,SK
2017/8/13,NC,1,2,두산
2017/8/15,두산,6,8,롯데
2017/8/15,NC,2,4,KIA
2017/8/16,SK,5,8,한화
2017/8/16,넥센,6,5,삼성
2017/8/16,두산,2,4,롯데
2017/8/16,kt,1,2,LG
2017/8/16,NC,3,4,KIA
2017/8/17,롯데,5,3,넥센
2017/8/17,한화,1,3,NC
2017/8/17,LG,1,6,SK
2017/8/17,KIA,1,4,두산
2017/8/17,삼성,6,4,kt
2017/8/18,롯데,8,5,넥센
2017/8/18,한화,14,9,NC
2017/8/18,LG,2,8,SK
2017/8/18,KIA,1,2,두산
2017/8/18,삼성,5,1,kt
2017/8/19,NC,3,4,넥센
2017/8/19,롯데,0,2,한화
2017/8/19,삼성,4,6,LG
2017/8/19,SK,13,1,KIA
2017/8/19,두산,10,4,kt
2017/8/20,NC,4,3,넥센
2017/8/20,롯데,4,3,한화
2017/8/20,두산,1,2,kt
2017/8/22,삼성,5,11,넥센
2017/8/22,두산,10,6,SK
2017/8/22,NC,4,3,LG
2017/8/22,롯데,7,3,KIA
2017/8/22,한화,3,2,kt
2017/8/23,삼성,1,5,넥센
2017/8/23,두산,4,1,SK
2017/8/23,NC,3,9,LG
2017/8/23,롯데,7,5,KIA
2017/8/23,한화,10,9,kt
2017/8/24,SK,9,7,삼성
2017/8/24,kt,1,7,NC
2017/8/24,LG,0,11,롯데
2017/8/24,넥센,5,6,두산
2017/8/25,KIA,3,6,한화
2017/8/25,SK,7,5,삼성
2017/8/25,kt,5,7,NC
2017/8/25,LG,2,8,롯데
2017/8/25,넥센,3,4,두산
2017/8/26,kt,8,14,삼성
2017/8/26,KIA,8,7,NC
2017/8/26,넥센,1,6,롯데
2017/8/26,한화,1,2,SK
2017/8/26,LG,4,5,두산
2017/8/27,kt,3,2,삼성
2017/8/27,KIA,4,5,NC
2017/8/27,넥센,9,8,롯데
2017/8/27,한화,2,4,SK
2017/8/27,LG,1,1,두산
2017/8/29,SK,4,8,넥센
2017/8/29,LG,4,8,한화
2017/8/29,KIA,10,9,삼성
2017/8/29,롯데,5,7,두산
2017/8/29,NC,13,2,kt
2017/8/30,SK,0,10,넥센
2017/8/30,LG,6,5,한화
2017/8/30,KIA,5,1,삼성
2017/8/30,롯데,5,2,두산
2017/8/30,NC,5,9,kt
2017/8/31,kt,1,10,한화
2017/8/31,NC,5,8,롯데
2017/8/31,삼성,4,5,SK
2017/8/31,넥센,5,3,LG
2017/8/31,두산,4,9,KIA
2017/9/1,kt,6,1,한화
2017/9/1,NC,1,6,롯데
2017/9/1,삼성,7,8,SK
2017/9/1,넥센,2,6,LG
2017/9/1,두산,3,5,KIA
2017/9/2,KIA,7,4,넥센
2017/9/2,LG,0,6,NC
2017/9/2,한화,0,9,롯데
2017/9/2,삼성,3,2,두산
2017/9/2,SK,15,7,kt
2017/9/3,KIA,7,8,넥센
2017/9/3,LG,0,5,NC
2017/9/3,한화,2,7,롯데
2017/9/3,삼성,1,7,두산
2017/9/3,SK,5,13,kt
2017/9/5,두산,4,6,한화
2017/9/5,NC,3,9,삼성
2017/9/5,롯데,2,6,SK
2017/9/5,KIA,3,4,LG
2017/9/5,넥센,1,5,kt
2017/9/6,두산,13,9,한화
2017/9/6,KIA,0,6,LG
2017/9/6,넥센,4,5,kt
2017/9/7,LG,1,1,넥센
2017/9/7,SK,3,4,NC
2017/9/7,삼성,6,5,롯데
2017/9/7,kt,7,3,두산
2017/9/7,한화,11,2,KIA
2017/9/8,LG,10,9,넥센
2017/9/8,SK,2,4,NC
2017/9/8,삼성,5,6,롯데
2017/9/8,kt,2,3,두산
2017/9/8,한화,5,9,KIA
2017/9/9,NC,3,6,한화
2017/9/9,넥센,1,2,SK
2017/9/9,두산,3,4,LG
2017/9/9,삼성,5,6,KIA
2017/9/9,롯데,2,3,kt
2017/9/10,NC,11,5,한화
2017/9/10,넥센,8,17,SK
2017/9/10,두산,5,1,LG
2017/9/10,삼성,9,6,KIA
2017/9/10,롯데,7,5,kt
2017/9/12,kt,3,2,넥센
2017/9/12,한화,6,2,삼성
2017/9/12,두산,14,13,NC
2017/9/12,KIA,6,2,SK
2017/9/12,롯데,2,1,LG
2017/9/13,kt,0,8,넥센
2017/9/13,한화,5,13,삼성
2017/9/13,두산,13,3,NC
2017/9/13,KIA,10,15,SK
2017/9/13,롯데,1,3,LG
2017/9/14,넥센,2,10,한화
2017/9/14,삼성,11,11,NC
2017/9/14,KIA,11,2,롯데
2017/9/14,SK,8,6,두산
2017/9/14,LG,11,12,kt
2017/9/15,넥센,4,6,한화
2017/9/15,삼성,11,3,NC
2017/9/15,KIA,3,4,롯데
2017/9/15,SK,5,0,두산
2017/9/15,LG,4,5,kt
2017/9/16,두산,9,5,삼성
2017/9/16,넥센,14,15,NC
2017/9/16,SK,1,6,롯데
2017/9/16,한화,3,1,LG
2017/9/16,kt,3,17,KIA
2017/9/17,두산,21,8,삼성
2017/9/17,넥센,14,6,NC
2017/9/17,SK,5,9,롯데
2017/9/17,한화,1,8,LG
2017/9/17,kt,3,4,KIA
2017/9/19,두산,8,3,롯데
2017/9/19,kt,15,7,LG
2017/9/19,SK,7,4,KIA
2017/9/20,두산,3,2,NC
2017/9/20,한화,2,1,LG
2017/9/20,SK,4,3,KIA
2017/9/21,LG,4,8,삼성
2017/9/21,넥센,5,3,kt
2017/9/22,롯데,2,0,한화
2017/9/22,LG,8,4,삼성
2017/9/22,두산,6,0,KIA
2017/9/23,삼성,7,8,한화
2017/9/23,LG,11,9,NC
2017/9/23,넥센,2,7,롯데
2017/9/23,kt,3,8,KIA
2017/9/24,LG,3,4,NC
2017/9/24,kt,4,6,두산
2017/9/24,한화,5,0,KIA
2017/9/26,한화,8,11,롯데
2017/9/26,LG,0,6,KIA
2017/9/27,NC,11,1,삼성
2017/9/27,두산,2,3,kt
2017/9/28,KIA,7,4,한화
2017/9/28,LG,15,6,kt
2017/9/29,KIA,7,2,한화
2017/9/29,넥센,4,8,NC
2017/9/29,롯데,7,2,SK
2017/9/29,두산,5,3,LG
2017/9/30,SK,4,1,한화
2017/9/30,넥센,4,11,NC
2017/9/30,삼성,3,4,LG
2017/10/1,두산,6,4,한화
2017/10/1,삼성,10,3,LG
2017/10/1,KIA,2,20,kt
2017/10/2,KIA,5,3,kt
2017/10/3,SK,3,2,두산
2017/10/3,KIA,10,2,kt
